Time,Step,Training loss,Validation loss,Full validation loss
13:33:47,84,0.1,0.0038,0.0312
13:33:44,83,0.005,0.0276,-
13:33:39,82,0.0108,0.0023,-
13:33:37,81,0.0116,0.0329,-
13:33:35,80,0.0301,0.0008,-
13:33:30,79,0.0056,0.0044,-
13:33:28,78,0.0098,0.0301,-
13:33:25,77,0.0069,0.0036,-
13:33:21,76,0.0356,0.0699,-
13:33:18,75,0.0382,0.0009,-
13:33:14,74,0.104,0.0078,-
13:33:12,73,0.0871,0.0389,-
13:33:09,72,0.0172,0.0072,-
13:33:05,71,0.1208,0.1231,-
13:33:02,70,0.1559,0.0014,-
13:32:58,69,0.012,0.0093,-
13:32:55,68,0.0019,0.0379,-
13:32:53,67,0.0117,0.0104,-
13:32:48,66,0.0969,0.0797,-
13:32:46,65,0.0002,0.0015,-
13:32:41,64,0.0717,0.0063,-
13:32:39,63,0.0044,0.0365,-
13:32:37,62,0.1944,0.0059,-
13:32:32,61,0.0033,0.0471,-
13:32:30,60,0.0225,0.0033,-
13:32:25,59,0.0471,0.0102,-
13:32:20,58,0.462,0.035,-
13:32:18,57,0.0127,0.007,-
13:32:16,56,0.0467,0.0603,0.0384
13:32:09,55,0.026,0.0052,-
13:32:04,54,0.0277,0.026,-
13:32:02,53,0.2283,0.0314,-
13:31:59,52,0.0899,0.0091,-
13:31:55,51,0.0187,0.0946,-
13:31:52,50,0.1389,0.0086,-
13:31:48,49,0.0615,0.0214,-
13:31:45,48,0.0171,0.0335,-
13:31:43,47,0.041,0.0103,-
13:31:38,46,0.3546,0.1096,-
13:31:36,45,0.0243,0.019,-
13:31:32,44,0.1365,0.0355,-
13:31:29,43,0.0801,0.0363,-
13:31:27,42,0.0354,0.0256,-
13:31:22,41,0.2168,0.2002,-
13:31:20,40,0.2138,0.033,-
13:31:15,39,0.1111,0.0428,-
13:31:13,38,0.0764,0.0599,-
13:31:10,37,0.0743,0.059,-
13:31:06,36,0.1632,0.1779,-
13:31:04,35,0.0446,0.0406,-
13:31:01,34,0.0094,0.0451,-
13:30:57,33,0.1275,0.0927,-
13:30:54,32,0.1312,0.1275,-
13:30:52,31,0.5193,0.1629,-
13:30:49,30,0.1281,0.0636,-
13:30:45,29,0.1344,0.045,-
13:30:43,28,0.3743,0.1129,0.1355
13:30:35,27,0.1315,0.1302,-
13:30:31,26,0.1233,0.122,-
13:30:28,25,0.6362,0.1284,-
13:30:24,24,0.1486,0.0384,-
13:30:21,23,0.4511,0.1026,-
13:30:17,22,0.2173,0.1884,-
13:30:14,21,0.215,0.1172,-
13:30:10,20,0.108,0.1213,-
13:30:07,19,0.4325,0.0452,-
13:30:03,18,0.1629,0.1093,-
13:30:00,17,0.0694,0.1863,-
13:29:56,16,1.5218,0.0881,-
13:29:54,15,0.2014,0.1394,-
13:29:51,14,0.2139,0.062,-
13:29:46,13,0.7414,0.1366,-
13:29:44,12,0.4953,0.218,-
13:29:39,11,0.2941,0.2307,-
13:29:37,10,0.1748,0.1365,-
13:29:32,9,0.3555,0.0437,-
13:29:30,8,0.3026,0.2929,-
13:29:26,7,0.3941,0.2493,-
13:29:23,6,1.2621,0.4764,-
13:29:21,5,0.617,0.3551,-
13:29:16,4,0.5441,0.369,-
13:29:14,3,0.9386,0.5225,-
13:29:09,2,2.8997,1.1467,-
13:29:07,1,0.8776,1.4016,-
